scenario_id,iteration,network,source,destination,target_date,target_column,distance_km,transmitter_type,modulation,baud_rate_gbaud,bit_rate_gbps,channel_slots,channel_pattern,channels,launch_power_dbm,preferred_engine,selected_engine,decision_reason,backend,status,gsnr_db,osnr_db,ase_dbm,gsnr_signal_bw_db,gsnr_0p1nm_db,osnr_signal_bw_db,osnr_0p1nm_db,ase_signal_bw_dbm,ase_0p1nm_dbm,rx_total_wdm_power_dbm,rx_signal_power_dbm,effective_snr_db,ber,r2,mae,mse,evm,gmi,ngmi,error_message,path_nodes,span_count,gnpy_request_json,gnpy_result_json,gnpy_spectrum_json,opticommpy_request_json,opticommpy_result_json,lstm_request_json,lstm_result_json,lstm_forecast_csv,lstm_model_path,eye_diagram_png,constellation_png,psd_png,notes,metrics_json
iter-1-scenario-1,1,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,3,000,0,-5.5,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,derived,no_signal,,,,,,,,,,,,,,,,,,,,,bristol -> bradley stoke,1,,,,,,,,,,,,,Path from bristol to bradley stoke,"{'channels_simulated': 0, 'channel_slots': 3, 'launch_power_dbm': -5.5, 'transmitter_type': 'voyager', 'channel_pattern': '000', 'note': 'All channel slots are switched off in this pattern.'}"
iter-2-scenario-1,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,3,000,0,-5.5,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,derived,no_signal,,,,,,,,,,,,,,,,,,,,,bristol -> bradley stoke,1,,,,,,,,,,,,,Blueprint for Bristol to bradley stoke.,"{'channels_simulated': 0, 'channel_slots': 3, 'launch_power_dbm': -5.5, 'transmitter_type': 'voyager', 'channel_pattern': '000', 'note': 'All channel slots are switched off in this pattern.'}"
iter-2-scenario-2,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,3,000,0,-5.0,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,derived,no_signal,,,,,,,,,,,,,,,,,,,,,bristol -> bradley stoke,1,,,,,,,,,,,,,Blueprint for Bristol to bradley stoke.,"{'channels_simulated': 0, 'channel_slots': 3, 'launch_power_dbm': -5.0, 'transmitter_type': 'voyager', 'channel_pattern': '000', 'note': 'All channel slots are switched off in this pattern.'}"
iter-2-scenario-3,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,3,000,0,-4.5,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,derived,no_signal,,,,,,,,,,,,,,,,,,,,,bristol -> bradley stoke,1,,,,,,,,,,,,,Blueprint for Bristol to bradley stoke.,"{'channels_simulated': 0, 'channel_slots': 3, 'launch_power_dbm': -4.5, 'transmitter_type': 'voyager', 'channel_pattern': '000', 'note': 'All channel slots are switched off in this pattern.'}"
iter-1-scenario-2,1,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,3,001,1,-5.5,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,real,ok,26.36,31.47,-30.68,26.36,,31.47,,-30.68,,,0.79,,,,,,,,,,bristol -> bradley stoke,1,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-1-scenario-2_request.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-1-scenario-2_result.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-1-scenario-2_spectrum.json,,,,,,,,,,Path from bristol to bradley stoke,"{'channels_simulated': 1, 'channel_slots': 3, 'spans_simulated': 1, 'launch_power_dbm': -5.5, 'transmitter_type': 'voyager', 'channel_pattern': '001', 'channel_details': [{'channel_number': 3.0, 'frequency_thz': 194.075, 'channel_power_dbm': 0.79, 'osnr_signal_bw_db': 31.47, 'snr_nli_signal_bw_db': 27.95, 'gsnr_signal_bw_db': 26.36}], 'rx_signal_power_dbm': 0.79, 'osnr_signal_bw_db': 31.47, 'gsnr_signal_bw_db': 26.36, 'ase_signal_bw_dbm': -30.68}"
iter-2-scenario-4,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,3,001,1,-5.5,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,real,ok,26.36,31.47,-30.68,26.36,,31.47,,-30.68,,,0.79,,,,,,,,,,bristol -> bradley stoke,1,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-4_request.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-4_result.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-4_spectrum.json,,,,,,,,,,Blueprint for Bristol to bradley stoke.,"{'channels_simulated': 1, 'channel_slots': 3, 'spans_simulated': 1, 'launch_power_dbm': -5.5, 'transmitter_type': 'voyager', 'channel_pattern': '001', 'channel_details': [{'channel_number': 3.0, 'frequency_thz': 194.075, 'channel_power_dbm': 0.79, 'osnr_signal_bw_db': 31.47, 'snr_nli_signal_bw_db': 27.95, 'gsnr_signal_bw_db': 26.36}], 'rx_signal_power_dbm': 0.79, 'osnr_signal_bw_db': 31.47, 'gsnr_signal_bw_db': 26.36, 'ase_signal_bw_dbm': -30.68}"
iter-2-scenario-5,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,3,001,1,-5.0,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,real,ok,25.7,31.7,-30.41,25.7,,31.7,,-30.41,,,1.29,,,,,,,,,,bristol -> bradley stoke,1,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-5_request.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-5_result.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-5_spectrum.json,,,,,,,,,,Blueprint for Bristol to bradley stoke.,"{'channels_simulated': 1, 'channel_slots': 3, 'spans_simulated': 1, 'launch_power_dbm': -5.0, 'transmitter_type': 'voyager', 'channel_pattern': '001', 'channel_details': [{'channel_number': 3.0, 'frequency_thz': 194.075, 'channel_power_dbm': 1.29, 'osnr_signal_bw_db': 31.7, 'snr_nli_signal_bw_db': 26.95, 'gsnr_signal_bw_db': 25.7}], 'rx_signal_power_dbm': 1.29, 'osnr_signal_bw_db': 31.7, 'gsnr_signal_bw_db': 25.7, 'ase_signal_bw_dbm': -30.41}"
iter-2-scenario-6,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,3,001,1,-4.5,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,real,ok,24.97,31.91,-30.12,24.97,,31.91,,-30.12,,,1.79,,,,,,,,,,bristol -> bradley stoke,1,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-6_request.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-6_result.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-6_spectrum.json,,,,,,,,,,Blueprint for Bristol to bradley stoke.,"{'channels_simulated': 1, 'channel_slots': 3, 'spans_simulated': 1, 'launch_power_dbm': -4.5, 'transmitter_type': 'voyager', 'channel_pattern': '001', 'channel_details': [{'channel_number': 3.0, 'frequency_thz': 194.075, 'channel_power_dbm': 1.79, 'osnr_signal_bw_db': 31.91, 'snr_nli_signal_bw_db': 25.95, 'gsnr_signal_bw_db': 24.97}], 'rx_signal_power_dbm': 1.79, 'osnr_signal_bw_db': 31.91, 'gsnr_signal_bw_db': 24.97, 'ase_signal_bw_dbm': -30.12}"
iter-1-scenario-3,1,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,3,010,1,-5.5,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,real,ok,26.36,31.47,-30.68,26.36,,31.47,,-30.68,,,0.79,,,,,,,,,,bristol -> bradley stoke,1,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-1-scenario-3_request.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-1-scenario-3_result.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-1-scenario-3_spectrum.json,,,,,,,,,,Path from bristol to bradley stoke,"{'channels_simulated': 1, 'channel_slots': 3, 'spans_simulated': 1, 'launch_power_dbm': -5.5, 'transmitter_type': 'voyager', 'channel_pattern': '010', 'channel_details': [{'channel_number': 2.0, 'frequency_thz': 194.0375, 'channel_power_dbm': 0.79, 'osnr_signal_bw_db': 31.47, 'snr_nli_signal_bw_db': 27.96, 'gsnr_signal_bw_db': 26.36}], 'rx_signal_power_dbm': 0.79, 'osnr_signal_bw_db': 31.47, 'gsnr_signal_bw_db': 26.36, 'ase_signal_bw_dbm': -30.68}"
iter-2-scenario-7,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,3,010,1,-5.5,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,real,ok,26.36,31.47,-30.68,26.36,,31.47,,-30.68,,,0.79,,,,,,,,,,bristol -> bradley stoke,1,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-7_request.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-7_result.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-7_spectrum.json,,,,,,,,,,Blueprint for Bristol to bradley stoke.,"{'channels_simulated': 1, 'channel_slots': 3, 'spans_simulated': 1, 'launch_power_dbm': -5.5, 'transmitter_type': 'voyager', 'channel_pattern': '010', 'channel_details': [{'channel_number': 2.0, 'frequency_thz': 194.0375, 'channel_power_dbm': 0.79, 'osnr_signal_bw_db': 31.47, 'snr_nli_signal_bw_db': 27.96, 'gsnr_signal_bw_db': 26.36}], 'rx_signal_power_dbm': 0.79, 'osnr_signal_bw_db': 31.47, 'gsnr_signal_bw_db': 26.36, 'ase_signal_bw_dbm': -30.68}"
