scenario_id,iteration,network,source,destination,transmitter_type,modulation,baud_rate_gbaud,bit_rate_gbps,launch_power_dbm,channel_pattern,channel_number,frequency_thz,channel_power_dbm,osnr_signal_bw_db,snr_nli_signal_bw_db,gsnr_signal_bw_db
iter-1-scenario-2,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00000001,8.0,194.2625,0.79,31.47,27.93,26.34
iter-2-scenario-4,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00000001,8.0,194.2625,0.79,31.47,27.93,26.34
iter-2-scenario-5,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00000001,8.0,194.2625,1.29,31.69,26.93,25.68
iter-2-scenario-6,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00000001,8.0,194.2625,1.79,31.9,25.93,24.95
iter-1-scenario-3,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00000010,7.0,194.225,0.79,31.47,27.94,26.34
iter-2-scenario-7,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00000010,7.0,194.225,0.79,31.47,27.94,26.34
iter-2-scenario-8,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00000010,7.0,194.225,1.29,31.69,26.94,25.68
iter-2-scenario-9,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00000010,7.0,194.225,1.79,31.9,25.94,24.96
iter-1-scenario-4,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00000011,7.0,194.225,0.79,31.47,25.92,24.85
iter-1-scenario-4,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00000011,8.0,194.2625,0.79,31.47,25.91,24.85
iter-2-scenario-10,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00000011,7.0,194.225,0.79,31.47,25.92,24.85
iter-2-scenario-10,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00000011,8.0,194.2625,0.79,31.47,25.91,24.85
iter-2-scenario-11,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00000011,7.0,194.225,1.29,31.69,24.92,24.09
iter-2-scenario-11,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00000011,8.0,194.2625,1.29,31.69,24.91,24.09
iter-2-scenario-12,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00000011,7.0,194.225,1.79,31.9,23.92,23.28
iter-2-scenario-12,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00000011,8.0,194.2625,1.79,31.9,23.91,23.27
iter-1-scenario-5,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00000100,6.0,194.1875,0.79,31.47,27.94,26.35
iter-2-scenario-13,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00000100,6.0,194.1875,0.79,31.47,27.94,26.35
